Index,Score,bootstrap,max_features,n_estimators
0,0.6833333333333333,False,5,100
1,0.7070000000000001,False,5,200
2,0.7153333333333334,False,5,300
3,0.7153333333333334,False,5,400
4,0.6993333333333334,False,5,500
5,0.7563333333333333,False,7,100
6,0.7403333333333333,False,7,200
7,0.7316666666666667,False,7,300
8,0.732,False,7,400
9,0.732,False,7,500
10,0.7403333333333333,False,9,100
11,0.7403333333333333,False,9,200
12,0.7403333333333333,False,9,300
13,0.7403333333333333,False,9,400
14,0.7563333333333333,False,9,500
15,0.7403333333333333,False,11,100
16,0.7403333333333333,False,11,200
17,0.7083333333333333,False,11,300
18,0.7163333333333333,False,11,400
19,0.7083333333333333,False,11,500
20,0.7003333333333333,False,13,100
21,0.7003333333333333,False,13,200
22,0.7003333333333333,False,13,300
23,0.7003333333333333,False,13,400
24,0.7003333333333333,False,13,500
25,0.7003333333333333,False,15,100
26,0.7003333333333333,False,15,200
27,0.7003333333333333,False,15,300
28,0.7003333333333333,False,15,400
29,0.7003333333333333,False,15,500
